url,week_id,week_position,song,performer,song_id,instance,previous_week_position,peak_position,weeks_on_chart,genre,gender
http://www.billboard.com/charts/hot-100/1999-12-25,1999-12-25,85,Music Of My Heart,'N Sync & Gloria Estefan,Music Of My Heart'N Sync & Gloria Estefan,1,86,2,17,Pop,Male
http://www.billboard.com/charts/hot-100/2004-07-10,2004-07-10,85,My Band,D12,My BandD12,1,72,6,17,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/1987-08-15,1987-08-15,88,In Too Deep,Genesis,In Too DeepGenesis,1,74,3,17,Rock,Male
http://www.billboard.com/charts/hot-100/2013-03-23,2013-03-23,94,Little Things,One Direction,Little ThingsOne Direction,1,89,33,17,Pop,Male
http://www.billboard.com/charts/hot-100/1986-09-20,1986-09-20,98,Invisible Touch,Genesis,Invisible TouchGenesis,1,79,1,17,Rock,Male
http://www.billboard.com/charts/hot-100/2001-01-20,2001-01-20,1,Independent Women Part I,Destiny's Child,Independent Women Part IDestiny's Child,1,1,1,18,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/2004-02-14,2004-02-14,3,Hey Ya!,OutKast,Hey Ya!OutKast,1,1,1,18,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/2000-09-09,2000-09-09,3,"Jumpin', Jumpin'",Destiny's Child,"Jumpin', Jumpin'Destiny's Child",1,3,3,18,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/1998-03-28,1998-03-28,3,"No, No, No",Destiny's Child,"No, No, NoDestiny's Child",1,4,3,18,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/1976-02-21,1976-02-21,5,Love Machine (Part 1),The Miracles,Love Machine (Part 1)The Miracles,1,8,5,18,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/2009-10-24,2009-10-24,6,I Gotta Feeling,The Black Eyed Peas,I Gotta FeelingThe Black Eyed Peas,1,5,1,18,Pop,Coed
http://www.billboard.com/charts/hot-100/2005-12-17,2005-12-17,6,My Humps,The Black Eyed Peas,My HumpsThe Black Eyed Peas,1,3,3,18,Pop,Coed
http://www.billboard.com/charts/hot-100/2000-09-02,2000-09-02,10,It's Gonna Be Me,'N Sync,It's Gonna Be Me'N Sync,1,6,1,18,Pop,Male
http://www.billboard.com/charts/hot-100/2001-03-10,2001-03-10,11,Ms. Jackson,OutKast,Ms. JacksonOutKast,1,7,1,18,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/2011-07-02,2011-07-02,11,Just Can't Get Enough,The Black Eyed Peas,Just Can't Get EnoughThe Black Eyed Peas,1,8,3,18,Pop,Coed
http://www.billboard.com/charts/hot-100/2002-01-19,2002-01-19,13,Gone,'N Sync,Gone'N Sync,1,13,11,18,Pop,Male
http://www.billboard.com/charts/hot-100/2005-01-22,2005-01-22,16,Lose My Breath,Destiny's Child,Lose My BreathDestiny's Child,1,13,3,18,R&B/Hip Hop,Female
http://www.billboard.com/charts/hot-100/1983-10-01,1983-10-01,20,Every Breath You Take,The Police,Every Breath You TakeThe Police,1,15,1,18,Rock,Male
http://www.billboard.com/charts/hot-100/2004-02-28,2004-02-28,23,It's My Life,No Doubt,It's My LifeNo Doubt,1,14,10,18,Pop,Coed
http://www.billboard.com/charts/hot-100/1970-03-14,1970-03-14,24,I Want You Back,Jackson 5,I Want You BackJackson 5,1,14,1,18,Pop,Male
http://www.billboard.com/charts/hot-100/1998-07-04,1998-07-04,25,I Want You Back,'N Sync,I Want You Back'N Sync,1,26,13,18,Pop,Male
http://www.billboard.com/charts/hot-100/1969-01-11,1969-01-11,30,Hey Jude,The Beatles,Hey JudeThe Beatles,1,23,1,18,Rock,Male
http://www.billboard.com/charts/hot-100/2010-01-30,2010-01-30,30,Meet Me Halfway,The Black Eyed Peas,Meet Me HalfwayThe Black Eyed Peas,1,21,7,18,Pop,Coed
http://www.billboard.com/charts/hot-100/2009-04-11,2009-04-11,30,I Hate This Part,The Pussycat Dolls,I Hate This PartThe Pussycat Dolls,1,31,11,18,Pop,Female
http://www.billboard.com/charts/hot-100/1996-04-13,1996-04-13,32,Just A Girl,No Doubt,Just A GirlNo Doubt,1,44,32,18,Pop,Coed
http://www.billboard.com/charts/hot-100/2015-12-19,2015-12-19,33,Drag Me Down,One Direction,Drag Me DownOne Direction,1,30,3,18,Pop,Male
http://www.billboard.com/charts/hot-100/1985-05-25,1985-05-25,35,Nightshift,Commodores,NightshiftCommodores,1,24,3,18,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/2002-04-06,2002-04-06,36,Hey Baby,No Doubt Featuring Bounty Killer,Hey BabyNo Doubt Featuring Bounty Killer,1,19,5,18,Pop,Coed
http://www.billboard.com/charts/hot-100/1981-10-17,1981-10-17,36,Lady (You Bring Me Up),Commodores,Lady (You Bring Me Up)Commodores,1,28,8,18,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/2002-06-08,2002-06-08,37,Girlfriend,'N Sync Featuring Nelly,Girlfriend'N Sync Featuring Nelly,1,30,5,18,Pop,Male
http://www.billboard.com/charts/hot-100/2002-08-17,2002-08-17,44,Hella Good,No Doubt,Hella GoodNo Doubt,1,41,13,18,Pop,Coed
http://www.billboard.com/charts/hot-100/1987-02-28,1987-02-28,45,Land Of Confusion,Genesis,Land Of ConfusionGenesis,1,32,4,18,Rock,Male
http://www.billboard.com/charts/hot-100/1992-05-30,1992-05-30,45,I Can't Dance,Genesis,I Can't DanceGenesis,1,41,7,18,Rock,Male
http://www.billboard.com/charts/hot-100/2015-04-04,2015-04-04,45,Night Changes,One Direction,Night ChangesOne Direction,1,52,31,18,Pop,Male
http://www.billboard.com/charts/hot-100/1982-01-23,1982-01-23,46,Oh No,Commodores,Oh NoCommodores,1,33,4,18,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/1977-10-01,1977-10-01,46,Easy,Commodores,EasyCommodores,1,42,4,18,R&B/Hip Hop,Male
http://www.billboard.com/charts/hot-100/1992-02-29,1992-02-29,46,No Son Of Mine,Genesis,No Son Of MineGenesis,1,38,12,18,Rock,Male
http://www.billboard.com/charts/hot-100/1992-08-29,1992-08-29,51,Hold On My Heart,Genesis,Hold On My HeartGenesis,1,45,12,18,Rock,Male
